id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
207497,,2016,True,Clear,1,13637,13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,1,"""BBC Monitoring South Asia,2016-01-05,Agency reports fighting between Taleban, ISIS in Afghan east""",BBC Monitoring South Asia,2016-01-05,"Agency reports fighting between Taleban, ISIS in Afghan east",governor's office of Nangarhar ,2,Sipiaw village,,Nangarhar province,Bati Kot district,34.261078,70.731087,POINT (70.731087 34.261078),179062,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,0,0,0,0,15,0,
207498,,2016,True,Clear,1,364,364,India:Kashmir,792,792,Government of India - Kashmir insurgents,141,141,Government of India,325,325,Kashmir insurgents,3,"""BBC Monitoring South Asia,2016-01-05,Afghan interior ministry provides update about recent security incidents"";""Xinhua News Agency,2016-01-06,News Analysis: Taliban fighters intensify attacks ahead of proposed peace talks"";""The Indian Express,2016-01-06,Indian consulate attack: Before dying, Afghan attackers scrawled ‘Afzal Guru avenged’ on walls""",BBC Monitoring South Asia;Xinhua News Agency;The Indian Express,2016-01-05;2016-01-06;2016-01-06,"Afghan interior ministry provides update about recent security incidents;News Analysis: Taliban fighters intensify attacks ahead of proposed peace talks;Indian consulate attack: Before dying, Afghan attackers scrawled ‘Afzal Guru avenged’ on walls",spokesman for the ministry of interior affairs,1,Mazari Sharif town,,Balkh province,Mazari Sharif district,36.700067,67.116647,POINT (67.116647 36.700067),182655,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,1,3,0,0,4,4,4,
207499,,2016,True,Clear,3,303,514,Taleban - Civilians,303,981,Taleban - Civilians,303,303,Taleban,9999,1,Civilians,3,"""BBC Monitoring South Asia,2016-01-05,Afghan interior ministry provides update about recent security incidents"";""Pajhwok News,2016-01-04,Top peace emissary gunned down in Samangan"";""Pajhwok News,2016-01-05,Suspected killer of Samangan peace committee head detained""",BBC Monitoring South Asia;Pajhwok News;Pajhwok News,2016-01-05;2016-01-04;2016-01-05,Afghan interior ministry provides update about recent security incidents;Top peace emissary gunned down in Samangan;Suspected killer of Samangan peace committee head detained,"spokesman for the ministry of interior affairs, police",1,Aybak (Samangan) town,,Samangan province,Aybak district,36.265488,68.016388,POINT (68.016388 36.265488),181937,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,0,1,0,1,1,1,
207500,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,3,"""Agence France Presse,2016-01-05,US, Afghan casualties in special ops mission in Helmand: US official"";""Reuters News,2016-01-05,One U.S. service member killed, two wounded in Afghanistan-spokesman"";""Associated Press Newswires,2016-01-07,Washington National Guard Green Beret killed in Afghanistan""",Agence France Presse;Reuters News;Associated Press Newswires,2016-01-05;2016-01-05;2016-01-07,"US, Afghan casualties in special ops mission in Helmand: US official;One U.S. service member killed, two wounded in Afghanistan-spokesman;Washington National Guard Green Beret killed in Afghanistan",US defense official ,2,Marja town,,Hilmand province,Nad Ali district (Marja),31.521994,64.118492,POINT (64.118492 31.521994),175449,Afghanistan,700,Asia,1,1,01/05/2016 00:00:00,01/05/2016 00:00:00,1,0,0,0,1,1,1,
207501,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""BBC Monitoring South Asia,2016-01-06,Taleban say three soldiers killed in Afghan east""",BBC Monitoring South Asia,2016-01-06,Taleban say three soldiers killed in Afghan east,Taleban,1,Sahak village,,Paktya province,Zurmat district,33.531792,69.048592,POINT (69.048592 33.531792),178339,Afghanistan,700,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,1,0,0,1,1,1,
207502,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,2,"""Xinhua News Agency,2016-01-06,4 soldiers killed in eastern Afghan bomb attack"";""Pajhwok News,2016-01-06,2 Afghan soldiers, 4 rebels killed in Kunar, Laghman""",Xinhua News Agency;Pajhwok News,2016-01-06;2016-01-06,"4 soldiers killed in eastern Afghan bomb attack;2 Afghan soldiers, 4 rebels killed in Kunar, Laghman",Police,3,Nari district,,Kunar province,Nari district,35.266478,71.540722,POINT (71.540722 35.266478),180504,Afghanistan,700,Asia,1,1,01/05/2016 00:00:00,01/05/2016 00:00:00,4,2,0,0,6,6,6,
207503,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""Xinhua News Agency,2016-01-06,39 militants killed in Afghan military operations: ministry""",Xinhua News Agency,2016-01-06,39 militants killed in Afghan military operations: ministry,Defense Ministry,6,Afghanistan,,,,33.000000,65.000000,POINT (65.000000 33.000000),177611,Afghanistan,700,Asia,2,2,01/05/2016 00:00:00,01/06/2016 00:00:00,0,5,0,0,5,5,5,
207504,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,2,"""Reuters News,2016-01-06,U.S. conducts air strikes as fighting rages in Afghan province"";""Pajhwok News,2016-01-06,34 Taliban eliminated in ongoing Helmand offensive""",Reuters News;Pajhwok News,2016-01-06;2016-01-06,U.S. conducts air strikes as fighting rages in Afghan province;34 Taliban eliminated in ongoing Helmand offensive,"Police, military, taleban",3,Nad Ali district (Marja),,Hilmand province,Nad Ali district (Marja),31.625941,63.861445,POINT (63.861445 31.625941),175448,Afghanistan,700,Asia,2,2,01/04/2016 00:00:00,01/06/2016 00:00:00,0,34,0,0,34,120,34,
207565,,2016,True,Clear,1,364,364,India:Kashmir,792,792,Government of India - Kashmir insurgents,141,141,Government of India,325,325,Kashmir insurgents,2,"""Press Trust of India,2016-01-02,Terrorists attack IAF base; 3 securitymen, 4 terrorists killed"";""SATP,2016-08-01,India Timeline - Year 2016""",Press Trust of India;SATP,2016-01-02;2016-08-01,"Terrorists attack IAF base; 3 securitymen, 4 terrorists killed;India Timeline - Year 2016","officials
SATP",1,Pathankot town,,Punjab State,Gurdaspur district,32.257680,75.673046,POINT (75.673046 32.257680),176192,India,750,Asia,1,1,01/02/2016 00:00:00,01/02/2016 00:00:00,5,4,0,0,9,9,9,
207570,,2016,True,Clear,1,364,364,India:Kashmir,792,792,Government of India - Kashmir insurgents,141,141,Government of India,325,325,Kashmir insurgents,2,"""Press Trust of India,2016-01-03,Three more security personnel killed, IED explosion at base"";""SATP,2016-08-01,India Timeline - Year 2016""",Press Trust of India;SATP,2016-01-03;2016-08-01,"Three more security personnel killed, IED explosion at base;India Timeline - Year 2016","Defense ministry
SATP",1,Pathankot town,,Punjab State,Gurdaspur district,32.257680,75.673046,POINT (75.673046 32.257680),176192,India,750,Asia,1,1,01/03/2016 00:00:00,01/03/2016 00:00:00,2,0,0,0,2,2,2,
207571,,2016,True,Clear,1,364,364,India:Kashmir,792,792,Government of India - Kashmir insurgents,141,141,Government of India,325,325,Kashmir insurgents,1,"""Press Trust of India,2016-01-04,Six terrorists killed, combing operation on""",Press Trust of India,2016-01-04,"Six terrorists killed, combing operation on",government,1,Pathankot town,,Punjab State,Gurdaspur district,32.257680,75.673046,POINT (75.673046 32.257680),176192,India,750,Asia,1,1,01/04/2016 00:00:00,01/04/2016 00:00:00,0,2,0,0,2,2,2,
209109,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,3,"""Reuters News,2016-01-03,Attack on Iraqi military base kills at least 15: sources"";""Agence France Presse,2016-01-03,IS attack on Iraq police trainees kills 12: officials"";""Agence France Presse,2016-01-03,IS attack on Iraq police trainees kills 12: officials""",Reuters News;Agence France Presse;Agence France Presse,2016-01-03;2016-01-03;2016-01-03,Attack on Iraqi military base kills at least 15: sources;IS attack on Iraq police trainees kills 12: officials;IS attack on Iraq police trainees kills 12: officials,"Spokes Person, Police Officer and IS online statement",2,Tikrīt town,,Şalāḩ ad Dīn province,Qaḑā’ Tikrīt,34.615807,43.678606,POINT (43.678606 34.615807),179728,Iraq,645,Middle East,1,1,01/03/2016 00:00:00,01/03/2016 00:00:00,12,7,0,0,19,19,19,
210237,,2016,False,Clear,1,13349,13349,Myanmar (Burma):Palaung,14273,14273,Government of Myanmar (Burma) - PSLF,144,144,Government of Myanmar (Burma),5965,5965,PSLF,1,"""The Irrawaddy,2016-01-04,Renewed Fighting Between Govt, TNLA in Shan State""",The Irrawaddy,2016-01-04,"Renewed Fighting Between Govt, TNLA in Shan State","Mai Aie Kyaw, a spokesperson for the TNLA",2,Muse Township,,Shan State,Muse District,23.957135,98.129121,POINT (98.129121 23.957135),163997,Myanmar (Burma),775,Asia,1,1,01/03/2016 00:00:00,01/03/2016 00:00:00,0,0,0,0,0,4,0,
210259,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,4,"""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault in Anbar: commander"";""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander"";""Reuters News,2016-01-05,IS launches offensives near northwest Iraqi city"";""Associated Press Newswires,2016-01-06,IS steps up assault on western Iraqi town after losses""",Agence France Presse;Agence France Presse;Reuters News;Associated Press Newswires,2016-01-05;2016-01-05;2016-01-05;2016-01-06,25 Iraq fighters killed thwarting IS assault in Anbar: commander;25 Iraq fighters killed thwarting IS assault: commander;IS launches offensives near northwest Iraqi city;IS steps up assault on western Iraqi town after losses,Iraqui official and Tribal leaders,1,Haditha town,,Al Anbār province,Qaḑā’ Haditha,34.134772,42.377236,POINT (42.377236 34.134772),179005,Iraq,645,Middle East,1,2,01/03/2016 00:00:00,01/05/2016 00:00:00,45,101,0,0,146,146,146,
210290,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,1,"""BBC Monitoring Middle East,2016-01-07,Iraqi forces kill 75 Islamic State fighters in Al-Anbar - website""",BBC Monitoring Middle East,2016-01-07,Iraqi forces kill 75 Islamic State fighters in Al-Anbar - website,National Security Apparatus,2,Tharthar town,,Al Anbār province,Qaḑā’ ar Ramādī,33.610343,43.522082,POINT (43.522082 33.610343),178288,Iraq,645,Middle East,1,1,01/07/2016 00:00:00,01/07/2016 00:00:00,0,75,0,0,75,75,75,
210305,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,1,"""Agence France Presse,2016-01-06,'About 2,500' IS fighters killed in Iraq and Syria last month""",Agence France Presse,2016-01-06,"'About 2,500' IS fighters killed in Iraq and Syria last month",Baghdad-based military spokesman Colonel Steve Warren,1,Ramādī town,,Al Anbār province,Qaḑā’ ar Ramādī,33.420560,43.307779,POINT (43.307779 33.420560),177567,Iraq,645,Middle East,1,1,01/06/2016 00:00:00,01/06/2016 00:00:00,0,60,0,0,60,60,60,
210310,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,1,"""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander""",Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander,"Tribal commander, Sheikh Abdallah Atallah",1,Sakrana village,,Al Anbār province,Qaḑā’ Haditha,34.191935,42.498131,POINT (42.498131 34.191935),179005,Iraq,645,Middle East,1,2,01/03/2016 00:00:00,01/05/2016 00:00:00,0,20,0,0,20,20,20,
210420,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,3,"""Agence France Presse,2016-01-10,Iraq drone strike mistake kills 9 militiamen: spokesman"";""Reuters News,2016-01-10,'Friendly fire' by Iraqi drone kills nine anti-IS fighters"";""Reuters News,2016-01-10,""Friendly fire"" by Iraqi drone kills nine anti-IS fighters""",Agence France Presse;Reuters News;Reuters News,2016-01-10;2016-01-10;2016-01-10,"Iraq drone strike mistake kills 9 militiamen: spokesman;'Friendly fire' by Iraqi drone kills nine anti-IS fighters;""Friendly fire"" by Iraqi drone kills nine anti-IS fighters","Joint police and military operations, Ahmed al-Assadi, spokesman for the Hashed al-Shaabi umbrella group",2,Tikrīt town,,Şalāḩ ad Dīn province,Qaḑā’ Tikrīt,34.615807,43.678606,POINT (43.678606 34.615807),179728,Iraq,645,Middle East,1,1,01/10/2016 00:00:00,01/10/2016 00:00:00,9,0,0,0,9,9,9,
210421,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,5,"""Agence France Presse,2016-01-11,IS attack in Baghdad kills at least 12: officials"";""Agence France Presse,2016-01-11,12 killed as gunmen take hostages in Baghdad mall: police"";""Associated Press Newswires,2016-01-11,IS claims responsibility for Baghdad mall attack"";""Reuters News,2016-01-11,CORRECTED-Islamic State says it carried out attacks on Baghdad mall -statement"";""Associated Press Newswires,2016-01-11,IS claims responsibility for Baghdad mall attack""",Agence France Presse;Agence France Presse;Associated Press Newswires;Reuters News;Associated Press Newswires,2016-01-11;2016-01-11;2016-01-11;2016-01-11;2016-01-11,IS attack in Baghdad kills at least 12: officials;12 killed as gunmen take hostages in Baghdad mall: police;IS claims responsibility for Baghdad mall attack;CORRECTED-Islamic State says it carried out attacks on Baghdad mall -statement;IS claims responsibility for Baghdad mall attack,"medical and police sources, IS statement,",1,Baghdād city,,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,01/11/2016 00:00:00,01/11/2016 00:00:00,4,3,3,0,10,10,10,
210431,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,3,"""Reuters News,2016-01-11,At least 20 killed in eastern Iraq by two bombs -sources"";""Reuters News,2016-01-11,Islamic State says it carried out 'twin' blasts in eastern Iraq: statement"";""Associated Press Newswires,2016-01-11,IS claims responsibility for Baghdad mall attack""",Reuters News;Reuters News;Associated Press Newswires,2016-01-11;2016-01-11;2016-01-11,At least 20 killed in eastern Iraq by two bombs -sources;Islamic State says it carried out 'twin' blasts in eastern Iraq: statement;IS claims responsibility for Baghdad mall attack,security and medical sources,1,Miqdādīyah town,,Diyālá province,Qaḑā’ Miqdādīyah,33.978611,44.936944,POINT (44.936944 33.978611),178290,Iraq,645,Middle East,1,1,01/11/2016 00:00:00,01/11/2016 00:00:00,23,2,1,0,26,26,26,
210703,,2016,True,Clear,1,333,333,Afghanistan:Government,735,735,Government of Afghanistan - Taleban,130,130,Government of Afghanistan,303,303,Taleban,1,"""BBC Monitoring South Asia,2016-01-04,Bodies of five kidnapped Afghan soldiers found in eastern province""",BBC Monitoring South Asia,2016-01-04,Bodies of five kidnapped Afghan soldiers found in eastern province,Deputy governor,3,Ghazni district,,Ghazni province,Ghazni district,33.534106,68.440374,POINT (68.440374 33.534106),178337,Afghanistan,700,Asia,1,2,01/01/2016 00:00:00,01/04/2016 00:00:00,2,0,0,0,2,3,2,
211727,,2016,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,4,"""Reuters News,2016-01-11,Car bomb in southeast Baghdad kills 7 -sources"";""Associated Press Newswires,2016-01-11,IS claims responsibility for Baghdad mall attack"";""Agence France Presse,2016-01-11,Multiple jihadist attacks kill more than 30 in Iraq"";""Reuters News,2016-01-11,UPDATE 3-At least 51 killed in attacks in Iraqi capital, eastern town""",Reuters News;Associated Press Newswires;Agence France Presse;Reuters News,2016-01-11;2016-01-11;2016-01-11;2016-01-11,"Car bomb in southeast Baghdad kills 7 -sources;IS claims responsibility for Baghdad mall attack;Multiple jihadist attacks kill more than 30 in Iraq;UPDATE 3-At least 51 killed in attacks in Iraqi capital, eastern town",police and medical sources,1,Baghdād city,,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,Middle East,1,1,01/11/2016 00:00:00,01/11/2016 00:00:00,0,0,7,0,7,7,7,
211740,,2016,True,Clear,3,234,506,IS - Civilians,234,973,IS - Civilians,234,234,IS,9999,1,Civilians,1,"""Reuters News,2016-01-11,UPDATE 3-At least 51 killed in attacks in Iraqi capital, eastern town""",Reuters News,2016-01-11,"UPDATE 3-At least 51 killed in attacks in Iraqi capital, eastern town",security and medical sources ,1,Ba‘qūbah town,,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,01/11/2016 00:00:00,01/11/2016 00:00:00,0,0,3,0,3,3,3,
211746,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,2,"""Reuters News,2016-01-12,Suicide bomber kills two, wounds senior police officer in east Iraq: police"";""Reuters News,2016-01-12,UPDATE 2-Sunni mosques in east Iraq attacked after IS-claimed blasts""",Reuters News;Reuters News,2016-01-12;2016-01-12,"Suicide bomber kills two, wounds senior police officer in east Iraq: police;UPDATE 2-Sunni mosques in east Iraq attacked after IS-claimed blasts",police,2,Ba‘qūbah town,,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,01/12/2016 00:00:00,01/12/2016 00:00:00,2,1,0,0,3,3,3,
211769,,2016,True,Clear,1,259,259,Iraq:Government,524,524,Government of Iraq - IS,116,116,Government of Iraq,234,234,IS,1,"""Reuters News,2016-01-14,Islamic State seizes northern Iraqi village behind frontlines""",Reuters News,2016-01-14,Islamic State seizes northern Iraqi village behind frontlines,police and tribal sources in nearby Alam said,2,Al ‘Alam town,,Şalāḩ ad Dīn province,Qaḑā’ Tikrīt,34.644722,43.700000,POINT (43.700000 34.644722),179728,Iraq,645,Middle East,1,1,01/14/2016 00:00:00,01/14/2016 00:00:00,6,0,0,0,6,6,6,
