DATE,COUNTRY,COUNT,
26-Dec-14, Saudi Arabia,"WHO has been notified of 941  of infection with MERS-CoV, including at least 347 deaths. Based on the current situation and available information, WHO encourages all Member States to continue their surveillance for acute respiratory infections and to carefully review any unusual patterns",
17-Dec-14, Saudi Arabia," the WHO has been notified of 938  of infection with MERS-CoV, including at least 343 ",
02-Dec-14, Saudi Arabia," the WHO has been notified of 927  of infection with MERS-CoV, including at least 338 ",
21-Nov-14, Saudi Arabia," WHO has been notified of 909  of infection with MERS-CoV, including at least 331 ",
07-Nov-14, Saudi Arabia," WHO has been notified of 909  of infection with MERS-CoV, including at least 331 ",
03-Nov-14, Saudi Arabia," WHO has been notified of 897  of infection with MERS-CoV, including at least 325 ",
31-Oct-14, Qatar," WHO has received notification of 885  of infection with MERS-CoV, including at least 319 ",
24-Oct-14, Turkey," WHO has received notification of 883  of infection with MERS-CoV, including at least 319 ",
16-Oct-14, Saudi Arabia,The National IHR Focal Point of Saudi Arabia (SAU) has reported additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) to WHO,
02-Oct-14, Saudi Arabia, 853  of infection with MERS-CoV including at least 301  have officially been reported to WHO,
23-07-14, update, 837  of infection with MERS-CoV including at least 291  have officially been reported to WHO,
14-07-14,Saudi Arabia,"On 3, 5, 6, 8 and 10 July 2014, the National IHR Focal Point for Saudi Arabia reported an additional 7  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), and the death of a previously reported case",
14-07-14,United Arab Emirates,"On 10 July 2014, the National IHR Focal Point for the United Arab Emirates (UAE) reported 2 additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
04-07-14,Saudi Arabia,"On 30 June and 1 July 2014, the National IHR Focal Point for Saudi Arabia reported an additional 3  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV), and a death in a previously reported case",
02-07-14, update, He reports not to have had contact with  of MERS or contact with animals,
02-07-14, update, He reports not to have had contact with  of MERS or contact with animals,
02-07-14, update, He reports not to have had contact with  of MERS or contact with animals,
02-07-14, update," 824  of infection with MERS-CoV, including at least 286  have officially been reported to WHO",
26-06-14,Saudi Arabia,"On 19, 20, 22 and 23 June 2014, National IHR Focal Point of Saudi Arabia notified WHO of 4 additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
26-06-14,Saudi Arabia,"On 3 June 2014, the National IHR Focal Point of Saudi Arabia reported 113  of infection with Middle East Respiratory Syndrome Coronavirus (MERS-CoV), including 34 deaths",
25-06-14,Saudi Arabia,"On 17 June 2014, the National IHR Focal Point of Saudi Arabia notified WHO of 2 additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
16-06-14,Saudi Arabia,"On 12 and 13 June 2014, the National IHR Focal Point of Saudi Arabia notified WHO of 2 additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
14-06-14,Algeria,"On 31 May 2014, the National IHR Focal Point of Algeria notified WHO of two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
13-06-14,Saudi Arabia,"The National IHR Focal Points of Saudi Arabia, the United Arab Emirates (UAE) and the Islamic Republic of Iran recently reported additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) to WHO",
11-06-14,Saudi Arabia, 683  of infection with MERS-CoV including 204  have officially been reported to WHO,
04-06-14,Saudi Arabia, 681  of infection with MERS-CoV including 204  have officially been reported to WHO,
28-05-14, update," 636  of infection with MERS-CoV have officially been reported to WHO, including 193 deaths",
23-05-14, update," 635  of infection with MERS-CoV have officially been reported to WHO, including 193 deaths",
22-05-14, update," 632  of infection with MERS-CoV have officially been reported to WHO, including 193 deaths",
16-05-14, update,"  614  of infection with MERS-CoV have officially been reported to WHO, including 181 deaths",
13-Jun-17, Saudi Arabia,  2015  of infection with MERS-CoV including at least 703  have been reported to WHO since 2012,
15-05-14,United Arab Emirates,"On 8 May 2014, the National IHR Focal Point for the United Arab Emirates (UAE) reported an additional four  of infection with MERS-CoV",
15-05-14,United Arab Emirates," 572  of infection with MERS-CoV have officially been reported to WHO, including 173 deaths",
14-05-14, update," 571  of infection with MERS-CoV have officially been reported to WHO, including 171 deaths",
07-05-14,Jordan,"On 3 and 6 May 2014, the IHR National Focal Point of Jordan notified WHO of two additional  of Middle East Respiratory Syndrome (MERS-CoV) infections",
01-05-14,Saudi Arabia," WHO will update the global total of  of infections with MERS-CoV, including deaths, based on official information provided by Saudi Arabia as quickly as possible",
26-04-14,United Arab Emirates,"identifier""/><meta content=""On 26 April 2014, the Ministry of Health of the United Arab Emirates (UAE) reported seven additional  of infection with Middle East Respiratory Syndrome coronavirus (MERS-CoV)",
24-04-14, update,"from September 2012 to date, WHO has been informed of a total of 254  of infection with MERS-CoV, including 93 deaths",
23-04-14,United Arab Emirates,"On 21 April 2014, 18 April 2014 and 16 April 2014, the Ministry of Health of the United Arab Emirates (UAE) reported an additional 9  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
20-04-14, update,"from September 2012 to date, WHO has been informed of a total of 250  of infection with MERS-CoV, including 93 deaths",
17-04-14,United Arab Emirates/Malaysia,"On 17 April 2014, the Ministries of Health of Malaysia and the United Arab Emirates (UAE) reported an additional five  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
16-04-14,United Arab Emirates,On 13 and 14 April 2014 United Arab Emirates (UAE) reported a cluster of ten  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection among health-care workers identified through screening of contacts of a previously laboratory-confirmed case from Abu Dhabi who died on 10 April 2014,
14-04-14,Saudi Arabia/UAE,WHO has been informed of an additional 16  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) from Saudi Arabia and the United Arab Emirates (UAE),
10-04-14,Saudi Arabia/UAE,The Ministries of Health of Saudi Arabia and the United Arab Emirates (UAE) recently announced additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
27-03-14,Saudi Arabia,"On 20 and 21 March 2014, the Ministry of Health of Saudi Arabia announced an additional six  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
26-03-14, update,"from September 2012 to date, WHO has been informed of a total of 200  of infection with MERS-CoV, including 85 deaths",
25-03-14, update,"from September 2012 to date, WHO has been informed of a total of 199  of infection with MERS-CoV, including 84 deaths",
18-03-14,Saudi Arabia,"identifier""/><meta content=""On 14 March 2014, the Ministry of Health of Saudi Arabia announced an additional five  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
17-03-14,Saudi Arabia,"On 26 February and 6 March 2014, the Ministry of Health of Saudi Arabia announced an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV)",
12-03-14, update,WHO has been informed of an additional three  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection,
11-03-14,Saudi Arabia,"On 20 February 2014, the Ministry of Health of Saudi Arabia announced two additional  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection",
28-02-14,Saudi Arabia,"On 3 and 15 February 2014, the Ministry of Health of Saudi Arabia announced two additional  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection",
07-02-14, update," from September 2012 to date, WHO has been informed of a total of 182  of infection with MERS-CoV, including 79 deaths",
04-02-14, update,"  from September 2012 to date, WHO has been informed of a total of 181  of infection with MERS-CoV, including 79 deaths",
27-01-14, update,WHO has been notified of two additional  of Middle East Respiratory Syndrome coronavirus (MERS-CoV),
27-01-14, update,"from September 2012 to date, WHO has been informed of a total of 180  of infection with MERS-CoV, including 77 deaths",
09-01-14, update,"  from September 2012 to date, WHO has been informed of a total of 178  of infection with MERS-CoV, including 75 deaths",
03-01-14, update," from September 2012 to date, WHO has been informed of a total of 177  of infection with MERS-CoV, including 74 deaths",
31-12-13, update," from September 2012 to date, WHO has been informed of a total of 176  of infection with MERS-CoV, including 74 deaths",
27-12-13,Saudi Arabia,"On 20 December 2013, WHO has been informed of four additional  of Middle East Respiratory Syndrome coronavirus (MERS-CoV) in Saudi Arabia",
22-12-13, update," from September 2012 to date, WHO has been informed of a total of 166  of infection with MERS-CoV, including 71 deaths",
17-12-13,Saudi Arabia,WHO has been informed of an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) in Saudi Arabia,
02-12-13,United Arab Emirates,On 1 December 2013 WHO was informed of an additional three  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) in the United Arab Emirates,
29-11-13, update," from September 2012 to date, WHO has been informed of a total of 160  of infection with MERS-CoV, including 68 deaths",
26-11-13,Saudi Arabia,"identifier""/><meta content=""WHO has been informed of an additional three  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) in Saudi Arabia",
18-11-13,Kuwait,"identifier""/><meta content=""WHO has been informed of an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) from Kuwait",
18-11-13, update,"  from September 2012 to date, WHO has been informed of a total of 157  of infection with MERS-CoV, including 66 deaths",
15-11-13, update,WHO has been informed of an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
11-11-13,Saudi Arabia,"identifier""/><meta content=""WHO has been informed of two additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV) in Saudi Arabia",
10-11-13, update," from September 2012 to date, WHO has been informed of a total of 151  of infection with MERS-CoV, including 64 deaths",
07-11-13, update," from September 2012 to date, WHO has been informed of a total of 151  of infection with MERS-CoV, including 64 deaths",
04-11-13, update," from September 2012 to date, WHO has been informed of a total of 150  of infection with MERS-CoV, including 64 deaths",
31-10-13, update,WHO has been informed of an additional four  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
31-10-13,Saudi Arabia/Oman,  These include the first laboratory-confirmed case from Oman and three additional  from Saudi Arabia,
29-10-13, update,"  from September 2012 to date, WHO has been informed of a total of 145  of infection with MERS-CoV, including 62 deaths",
24-10-13,Qatar,"WHO has been informed of two  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia on 18 and 19 October 2013, and three  in 18 September 2013",
18-10-13,Saudi Arabia,WHO has been informed of an additional  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Qatar,
14-10-13,Saudi Arabia,WHO has been informed of an additional two  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
04-10-13,Saudi Arabia,WHO has been informed of an additional six  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
20-09-13, update,"from September 2012 to date, WHO has been informed of a total of 130  of infection with MERS-CoV, including 58 deaths",
19-09-13,Saudi Arabia,WHO has been informed of an additional 18 new  including three deaths with Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
07-09-13,Saudi Arabia,WHO has been informed of four (4) additional  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
06-09-13, update,WHO has been informed of an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
30-08-13,Saudi Arabia,WHO has been informed of an additional four  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
29-08-13,Qatar,WHO has been informed of an additional two  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Qatar,
28-08-13,Saudi Arabia,WHO has been informed of an additional eight  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
01-08-13,Saudi Arabia,WHO has been informed of an additional three  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
29-07-13, update," from September 2012 to date, WHO has been informed of a total of 91  of infection with MERS-CoV, including 46 deaths",
21-07-13,Saudi Arabia,"identifier""/><meta content=""WHO has been informed of two additional  of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia",
19-07-13, update,The Ministry of Health in Saudi Arabia has reported an additional two  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
19-07-13, update," from September 2012 to date, WHO has been informed of a total of 90  of infection with MERS-CoV, including 45 deaths",
18-07-13, update,WHO has been informed of six additional  of infection with Middle East respiratory syndrome coronavirus (MERS-CoV),
13-07-13, update," from September 2012 to date, WHO has been informed of a total of 82  of infection with MERS-CoV, including 45 deaths",
11-07-13, update,"  from September 2012 to date, WHO has been informed of a total of 81  of infection with MERS-CoV, including 45 deaths",
07-07-13, update," from September 2012 to date, WHO has been informed of a total of 80  of infection with MERS-CoV, including 44 deaths",
05-07-13,Saudi Arabia,The Ministry of Health (MoH) in Saudi Arabia has announced two additional  and two deaths in previously confirmed cases of Middle East respiratory syndrome coronavirus (MERS-CoV) infection in Saudi Arabia,
26-06-13,Saudi Arabia,The Ministry of Health (MoH) in Saudi Arabia has announced seven additional  and a death in a previously confirmed case of Middle East respiratory syndrome coronavirus (MERS-CoV),
23-06-13,Saudi Arabia,The Ministry of Health (MoH) in Saudi Arabia has announced two additional  and a death in a previously confirmed case of Middle East respiratory syndrome coronavirus (MERS-CoV),
22-06-13,Saudi Arabia,The Ministry of Health in Saudi Arabia has announced an additional four  with Middle East respiratory syndrome coronavirus (MERS-CoV),
17-06-13,Saudi Arabia,The Ministry of Health in Saudi Arabia has announced an additional three  with Middle East respiratory syndrome coronavirus (MERS-CoV),
15-06-13,Saudi Arabia,"The Ministry of Health in Saudi Arabia has announced an additional three , including one death with Middle East respiratory syndrome coronavirus (MERS-CoV)",
14-06-13,Saudi Arabia,"The Ministry of Health in Saudi Arabia has announced an additional three , including one death with Middle East respiratory syndrome coronavirus (MERS-CoV)",
07-06-13,Jordan/Qatar/Saudi Arabia/UAE," from September 2012 to date, WHO has been informed of a total of 55  of infection with MERS-CoV, including 31 deaths",
05-06-13, Qatar/Saudi Arabia/UAE,"  from September 2012 to date, WHO has been informed of a total of 54  of infection with MERS-CoV, including 30 deaths",
02-06-13, update  ,"The Ministry of Health in Italy, through the European Unions Early Warning Response System has notified WHO of an additional two  with Middle East respiratory syndrome coronavirus (MERS-CoV) in the country",
01-06-13, update," from September 2012 to date, WHO has been informed of a total of 51  of infection with MERS-CoV, including 30 deaths",
01-06-13,Jordan/Qatar/Saudi Arabia/UAE," WHO has received reports of  originating in the following countries in the Middle East to date: Jordan, Qatar, Saudi Arabia, and the United Arab Emirates (UAE)",
01-06-13, update," France, Germany, Italy, Tunisia and the United Kingdom also reported ", they were either transferred there for care of the disease or returned from the Middle East and subsequently became ill
31-05-13,Jordan/Qatar/Saudi Arabia/UAE,"  from September 2012 to date, WHO has been informed of a total of 50  of infection with MERS-CoV, including 30 deaths",
29-05-13,Saudi Arabia,The Ministry of Health in Saudi Arabia has notified WHO of an additional five  with Middle East respiratory syndrome coronavirus  (MERS-CoV),
23-05-13,Jordan/Qatar/Saudi Arabia/UAE," from September 2012 to date, WHO has been informed of a total of 44  of infection with MERS-CoV, including 22 deaths",
23-05-13,France/Germany/Tunisia/UK, they were either transferred for care of the disease or returned from Middle East and subsequently became ill,
22-05-13,Tunisia,The Ministry of Health in Tunisia has notified WHO of two  and a probable case of infection with the novel coronavirus (nCoV),
18-05-13, update,"From September 2012 to date, WHO has been informed of a global total of 41  of infection with nCoV, including 20 deaths",
15-05-13,Saudi Arabia,The Ministry of Health in Saudi Arabia has informed WHO of an additional two  with infection of the novel coronavirus (nCoV),
14-05-13,Saudi Arabia, The Ministry of Health in Saudi Arabia has informed WHO of an additional four  with infection of the novel coronavirus (nCoV),
19-Dec-16, Saudi Arabia," since September 2012, WHO has been notified of 1864  of infection with MERS-CoV including at least 659 ",
19-Dec-16, Saudi Arabia,"  since September 2012, WHO has been notified of 1854  of infection with MERS-CoV including at least 654 ",
08-Dec-16, Oman,"  since September 2012, WHO has been notified of 1842  of infection with MERS-CoV, including at least 652 ",
05-Dec-16, Saudi Arabia," since September 2012, WHO has been notified of 1841  of infection with MERS-CoV including at least 652 ",
28-Nov-16, Saudi Arabia," since September 2012, WHO has been notified of 1832  of infection with MERS-CoV including at least 651  have been reported to WHO",
11-Nov-16, Saudi Arabia," since September 2012, WHO has been notified of 1826  of infection with MERS-CoV including at least 649  have been reported to WHO",
31-Oct-16, Saudi Arabia," since September 2012, WHO has been notified of 1813  of infection with MERS-CoV including at least 645  have been reported to WHO",
21-Sep-16, Saudi Arabia," since September 2012, WHO has been notified of 1,806  of infection with MERS-CoV, including at least 643 ",
16-Sep-16, Saudi Arabia, 1800  of infection with MERS-CoV including at least 643  have been reported to WHO,
25-Jul-16, Saudi Arabia," since September 2012, WHO has been notified of 1,791  of infection with MERS-CoV, including at least 640 ",
06-Jul-16, Saudi Arabia," since September 2012, WHO has been notified of 1,782  of infection with MERS-CoV, including at least 634 ",
29-Jun-16, Qatar," since September 2012, WHO has been notified of 1,769  of infection with MERS-CoV, including at least 630 ",
22-Jun-16, Saudi Arabia," since September 2012, WHO has been notified of 1,768  of infection with MERS-CoV, including at least 630 ",
21-Jun-16, United Arab Emirates,"since September 2012, WHO has been notified of 1,762  of infection with MERS-CoV, including at least 629 ",
21-Jun-16, Saudi Arabia," since September 2012, WHO has been notified of 1,761  of infection with MERS-CoV, including at least 629 ",
19-Jun-16, Saudi Arabia,"since September 2012, WHO has been notified of 1,739  of infection with MERS-CoV, including at least 629 ",
16-May-16, Saudi Arabia," since September 2012, WHO has been notified of 1,733  of infection with MERS-CoV, including at least 628 ",
16-May-16, Qatar," since September 2012, WHO has been notified of 1,729  of infection with MERS-CoV, including at least 624 ",
26-Apr-16, Saudi Arabia," since September 2012, WHO has been notified of 1,728  of infection with MERS-CoV, including at least 624 ",
25-Apr-16, Bahrain," since September 2012, WHO has been notified of 1,725  of infection with MERS-CoV, including at least 624 ",
22-Apr-16, Saudi Arabia," since September 2012, WHO has been notified of 1,724  of infection with MERS-CoV, including at least 623 ",
14-Apr-16, Saudi Arabia," since September 2012, WHO has been notified of 1,714  of infection with MERS-CoV, including at least 618 ",
23-Mar-16, Saudi Arabia," since September 2012, WHO has been notified of 1,698  of infection with MERS-CoV, including at least 609 ",
21-Mar-16, Saudi Arabia," since September 2012, WHO has been notified of 1,694  of infection with MERS-CoV, including at least 605 ",
18-Mar-16, Saudi Arabia," since September 2012, WHO has been notified of 1,690  of infection with MERS-CoV, including at least 603 ",
16-Mar-16, Saudi Arabia," since September 2012, WHO has been notified of 1,684  of infection with MERS-CoV, including at least 600 ",
14-Mar-16, Saudi Arabia,"  since September 2012, WHO has been notified of 1,677  of infection with MERS-CoV, including at least 597 ",
10-Mar-16, Saudi Arabia," since September 2012, WHO has been notified of 1,651  of infection with MERS-CoV, including at least 590 ",
10-Mar-16, Qatar," since September 2012, WHO has been notified of 1,652  of infection with MERS-CoV, including at least 591 ",
29-Feb-16, Saudi Arabia," since September 2012, WHO has been notified of 1,644  of infection with MERS-CoV, including at least 590 ",
02-Feb-16, Saudi Arabia," since September 2012, WHO has been notified of 1,638  of infection with MERS-CoV, including at least 587 ",
29-Jan-16, Thailand," since September 2012, WHO has been notified of 1,633  of infection with MERS-CoV, including at least 587 ",
26-Jan-16, Saudi Arabia,"since September 2012, WHO has been notified of 1,630  of infection with MERS-CoV, including at least 586 ",
26-Jan-16, United Arab Emirates," since September 2012, WHO has been notified of 1,632  of infection with MERS-CoV, including at least 587 ",
07-Jan-16, Oman," since September 2012, WHO has been notified of 1,626  of infection with MERS-CoV, including at least 586 ",
04-Jan-16, Saudi Arabia," since September 2012, WHO has been notified of 1,625  of infection with MERS-CoV, including at least 586 ",
04-Dec-15, Saudi Arabia," since September 2012, WHO has been notified of 1,621  of infection with MERS-CoV, including at least 584 ",
13-Nov-15, Saudi Arabia," since September 2012, WHO has been notified of 1,618  of infection with MERS-CoV, including at least 579 ",
29-Oct-15, Saudi Arabia," since September 2012, WHO has been notified of 1,611  of infection with MERS-CoV, including at least 575 ",
25-Oct-15, Republic of Korea,"since September 2012, WHO has been notified of 1,599  of infection with MERS-CoV, including at least 574 ",
22-Oct-15, Saudi Arabia," since September 2012, WHO has been notified of 1,599  of infection with MERS-CoV, including at least 574 ",
12-Oct-15, Saudi Arabia," since September 2012, WHO has been notified of 1,595  of infection with MERS-CoV, including at least 571 ",
12-Oct-15, Jordan," WHO has been notified of 1,594  of infection with MERS-CoV, including at least 568 ",
01-Oct-15, Jordan," WHO has been notified of 1,593  of infection with MERS-CoV, including at least 568 ",
30-Sep-15, Saudi Arabia,"  since September 2012, WHO has been notified of 1,589  of infection with MERS-CoV, including at least 567 ",
27-Sep-15, Saudi Arabia," since September 2012, WHO has been notified of 1,583  of infection with MERS-CoV, including at least 566 ",
23-Sep-15, Kuwait," WHO has been notified of 1,570   of infection with MERS-CoV, including at least 555 ",
18-Sep-15, Jordan," WHO has been notified of 1,569  of infection with MERS-CoV, including at least 554 ",
17-Sep-15, Saudi Arabia," since September 2012, WHO has been notified of 1,564  of infection with MERS-CoV, including at least 551 ",
09-Sep-15, Saudi Arabia," since September 2012, WHO has been notified of 1,542  of infection with MERS-CoV, including at least 544 ",
08-Sep-15, Saudi Arabia," since September 2012, WHO has been notified of 1,517  of infection with MERS-CoV, including at least 539 ",
06-Sep-15, Jordan," WHO has been notified of 1,495  of infection with MERS-CoV, including at least 528 ",
02-Sep-15, Saudi Arabia," since September 2012, WHO has been notified of 1,493  of infection with MERS-CoV, including at least 527 ",
